eno,id,mouse,pm25,mopos
3.258096538021482,483,-1.8018098050815563,12.94988,no
3.8501476017100584,483,NA,NA,no
4.31748811353631,489,NA,NA,yes
3.4011973816621555,489,-0.5108256237659907,22.76033,yes
3.970291913552122,489,NA,NA,yes
3.4657359027997265,492,NA,NA,yes
3.2188758248682006,492,NA,55.61224,yes
3.295836866004329,492,-1.4696759700589417,106.6995,yes
3.044522437723423,492,NA,NA,yes
2.302585092994046,492,NA,49.27459,yes
2.9444389791664403,497,NA,NA,no
3.091042453358316,497,-4.605170185988091,93.1451,no
2.5649493574615367,497,-4.605170185988091,20.87727,no
3.4011973816621555,497,NA,NA,no
3.044522437723423,497,-9.210340371976182,18.05672,no
3.258096538021482,500,NA,NA,no
3.4657359027997265,500,-0.3871341514234409,60.40725,no
3.6635616461296463,500,-1.3983669423541598,46.66465,no
2.0794415416798357,500,NA,NA,no
3.4657359027997265,502,NA,NA,no
3.295836866004329,502,1.0116009116784799,18.47734,no
3.2188758248682006,502,NA,NA,no
3.044522437723423,502,NA,NA,no
2.0794415416798357,502,-1.8971199848858813,27.08795,no
3.9889840465642745,504,NA,NA,no
